state,date,cases
Illinois,2020-01-24,1
North Dakota,2020-03-12,1
North Dakota,2020-03-13,1
North Dakota,2020-03-14,1
North Dakota,2020-03-15,1
North Dakota,2020-03-16,1
Washington,2020-02-07,1
Washington,2020-02-06,1
Washington,2020-02-05,1
District of Columbia,2020-03-08,1
District of Columbia,2020-03-07,1
Washington,2020-02-04,1
Washington,2020-02-03,1
Washington,2020-02-02,1
North Dakota,2020-03-11,1
Washington,2020-02-01,1
Illinois,2020-01-25,1
Washington,2020-01-31,1
Washington,2020-01-30,1
Washington,2020-01-29,1
Washington,2020-01-28,1
Oklahoma,2020-03-06,1
Oklahoma,2020-03-07,1
Oklahoma,2020-03-08,1
Oklahoma,2020-03-09,1
Washington,2020-01-27,1
Washington,2020-01-26,1
Oregon,2020-02-28,1
Oregon,2020-02-29,1
Delaware,2020-03-11,1
North Carolina,2020-03-05,1
North Carolina,2020-03-04,1
North Carolina,2020-03-03,1
Missouri,2020-03-08,1
Missouri,2020-03-09,1
Missouri,2020-03-10,1
Missouri,2020-03-11,1
Arizona,2020-02-15,1
Arizona,2020-02-16,1
Arizona,2020-02-17,1
Arizona,2020-02-18,1
Arizona,2020-02-19,1
Arizona,2020-02-20,1
Arizona,2020-02-21,1
Arizona,2020-02-22,1
Arizona,2020-02-23,1
Arizona,2020-02-24,1
New Hampshire,2020-03-02,1
Arizona,2020-02-25,1
Arizona,2020-02-26,1
Arizona,2020-02-27,1
Arizona,2020-02-28,1
Arizona,2020-02-29,1
Arizona,2020-03-01,1
Arizona,2020-03-02,1
Vermont,2020-03-08,1
New Jersey,2020-03-04,1
Washington,2020-02-10,1
Washington,2020-02-09,1
Washington,2020-02-08,1
New York,2020-03-01,1
New York,2020-03-02,1
Washington,2020-01-25,1
Washington,2020-01-24,1
Connecticut,2020-03-08,1
Washington,2020-01-23,1
Wisconsin,2020-03-04,1
Wisconsin,2020-03-03,1
Wisconsin,2020-03-02,1
Wisconsin,2020-03-01,1
Wisconsin,2020-02-29,1
Wisconsin,2020-02-28,1
Wisconsin,2020-02-27,1
Wisconsin,2020-02-26,1
Wisconsin,2020-02-25,1
Wisconsin,2020-02-24,1
Wisconsin,2020-02-23,1
Wisconsin,2020-02-22,1
Wisconsin,2020-02-21,1
Wisconsin,2020-02-20,1
Wisconsin,2020-02-19,1
Wisconsin,2020-02-18,1
Wisconsin,2020-02-17,1
Wisconsin,2020-02-16,1
Wisconsin,2020-02-15,1
Wisconsin,2020-02-14,1
Wisconsin,2020-02-13,1
Wisconsin,2020-02-12,1
Wisconsin,2020-02-11,1
Wisconsin,2020-02-10,1
Wisconsin,2020-02-09,1
Wisconsin,2020-02-08,1
Wisconsin,2020-02-07,1
Wisconsin,2020-02-06,1
Wisconsin,2020-02-05,1
Wisconsin,2020-03-05,1
Missouri,2020-03-07,1
Wisconsin,2020-03-06,1
Wisconsin,2020-03-08,1
Washington,2020-01-22,1
Washington,2020-01-21,1
Virginia,2020-03-07,1
Arkansas,2020-03-11,1
Virgin Islands,2020-03-15,1
Wyoming,2020-03-12,1
Wyoming,2020-03-11,1
Virgin Islands,2020-03-14,1
California,2020-01-25,1
Tennessee,2020-03-05,1
Tennessee,2020-03-06,1
Tennessee,2020-03-07,1
Alaska,2020-03-15,1
Texas,2020-02-12,1
Alaska,2020-03-14,1
Alaska,2020-03-13,1
Alaska,2020-03-12,1
Utah,2020-02-25,1
Utah,2020-02-26,1
Utah,2020-02-27,1
Utah,2020-02-28,1
Utah,2020-02-29,1
Utah,2020-03-01,1
Utah,2020-03-02,1
Utah,2020-03-03,1
Utah,2020-03-04,1
Utah,2020-03-05,1
Vermont,2020-03-10,1
Vermont,2020-03-09,1
Wisconsin,2020-03-07,1
Arizona,2020-02-14,1
Vermont,2020-03-07,1
Mississippi,2020-03-12,1
Arizona,2020-01-31,1
Arizona,2020-02-01,1
Washington,2020-02-21,1
Washington,2020-02-22,1
Washington,2020-02-23,1
West Virginia,2020-03-17,1
Hawaii,2020-03-07,1
Hawaii,2020-03-06,1
Arizona,2020-02-02,1
Arizona,2020-02-03,1
Arizona,2020-02-04,1
Arizona,2020-02-05,1
Arizona,2020-02-06,1
Arizona,2020-02-07,1
Arizona,2020-02-08,1
Arizona,2020-02-09,1
Massachusetts,2020-02-02,1
Massachusetts,2020-02-03,1
Massachusetts,2020-02-04,1
Massachusetts,2020-02-05,1
