,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,class_val
0,"0     0.079106
1     0.079106
2    -0.903497
3     1.116125
4     1.638200
        ...   
95   -0.167918
96   -0.227670
97   -0.193271
98   -0.193271
99   -0.205150
Length: 100, dtype: float64","0     0.394032
1     0.394032
2    -3.666397
3    -0.656101
4     1.405135
        ...   
95    0.224085
96    0.118392
97    0.055227
98    0.055227
99   -0.003390
Length: 100, dtype: float64","0     0.551444
1     0.551444
2    -0.282844
3     0.333118
4     0.393875
        ...   
95    0.039889
96   -0.088594
97   -0.041530
98   -0.041530
99   -0.015113
Length: 100, dtype: float64","0     0.351565
1     0.351565
2    -0.095881
3     1.624657
4     1.187864
        ...   
95    0.039951
96   -0.029297
97    0.000000
98    0.000000
99   -0.007990
Length: 100, dtype: float64","0     0.023970
1     0.023970
2    -0.319605
3    -0.569962
4    -0.271664
        ...   
95   -0.010653
96    0.005327
97   -0.013317
98   -0.013317
99   -0.010653
Length: 100, dtype: float64","0     0.633883
1     0.633883
2     0.972131
3     1.209171
4     1.739182
        ...   
95   -0.021307
96   -0.042614
97   -0.063921
98   -0.063921
99   -0.031960
Length: 100, dtype: float64",standing
1,"0     0.377751
1     0.377751
2     2.952965
3     4.310925
4     3.256906
        ...   
95   -0.287704
96   -0.323383
97   -0.323383
98   -0.333625
99   -0.333625
Length: 100, dtype: float64","0    -0.610850
1    -0.610850
2     0.970717
3    -1.625661
4    -6.969257
        ...   
95    0.344518
96   -0.098593
97   -0.098593
98   -0.215987
99   -0.215987
Length: 100, dtype: float64","0    -0.147376
1    -0.147376
2    -5.962515
3    -1.898794
4    -2.730436
        ...   
95    0.055352
96    0.063051
97    0.063051
98   -0.000848
99   -0.000848
Length: 100, dtype: float64","0    -0.103872
1    -0.103872
2    -7.593275
3    -5.345389
4    -2.743274
        ...   
95   -0.015980
96   -0.018644
97   -0.018644
98   -0.007990
99   -0.007990
Length: 100, dtype: float64","0    -0.109198
1    -0.109198
2    -0.697804
3     0.402169
4     0.615239
        ...   
95   -0.007990
96   -0.010653
97   -0.010653
98    0.015980
99    0.015980
Length: 100, dtype: float64","0    -0.037287
1    -0.037287
2    -2.865789
3    -4.176168
4    -3.417107
        ...   
95   -0.039951
96   -0.135832
97   -0.135832
98    0.034624
99    0.034624
Length: 100, dtype: float64",standing
2,"0    -0.813905
1    -0.813905
2    -0.424628
3     0.316895
4     0.228580
        ...   
95   -0.255364
96   -0.066292
97   -0.206440
98   -0.544255
99   -0.544255
Length: 100, dtype: float64","0     0.825666
1     0.825666
2    -1.305033
3    -0.507693
4     0.028821
        ...   
95    0.314641
96    0.610305
97    0.209063
98   -0.558847
99   -0.558847
Length: 100, dtype: float64","0     0.032712
1     0.032712
2     0.826170
3     0.218569
4     0.586313
        ...   
95   -0.091294
96    0.286864
97    0.679102
98    0.379032
99    0.379032
Length: 100, dtype: float64","0     0.021307
1     0.021307
2    -0.372872
3     0.023970
4     0.066584
        ...   
95   -0.292971
96    0.095881
97    0.279654
98    0.159802
99    0.159802
Length: 100, dtype: float64","0     0.122515
1     0.122515
2    -0.045277
3    -0.130505
4    -0.263674
        ...   
95    0.077238
96   -0.034624
97   -0.031960
98    0.114525
99    0.114525
Length: 100, dtype: float64","0     0.775041
1     0.775041
2     0.383526
3     0.588605
4     0.817655
        ...   
95   -0.077238
96   -0.167792
97   -0.372872
98   -0.423476
99   -0.423476
Length: 100, dtype: float64",standing
3,"0     0.289855
1     0.289855
2    -0.669185
3     0.032063
4    -0.214649
        ...   
95    0.059766
96   -0.186758
97   -0.121576
98   -0.097311
99   -0.294934
Length: 100, dtype: float64","0     0.284130
1     0.284130
2    -0.210466
3     0.830952
4     0.348907
        ...   
95   -0.600759
96   -0.208328
97    0.565419
98    0.916712
99    1.221973
Length: 100, dtype: float64","0     0.213680
1     0.213680
2     0.252267
3     0.509806
4    -0.375393
        ...   
95   -0.250041
96   -0.103415
97   -0.078510
98    0.007786
99    0.173488
Length: 100, dtype: float64","0    -0.314278
1    -0.314278
2     0.018644
3    -0.015980
4     0.050604
        ...   
95    0.005327
96    0.005327
97   -0.015980
98   -0.106535
99   -0.058594
Length: 100, dtype: float64","0     0.074574
1     0.074574
2     0.007990
3    -0.093218
4    -0.015980
        ...   
95    0.037287
96   -0.023970
97    0.000000
98   -0.055931
99   -0.066584
Length: 100, dtype: float64","0    -0.079901
1    -0.079901
2     0.237040
3     0.146486
4     0.101208
        ...   
95    0.207743
96    0.436793
97    0.420813
98    0.375536
99    0.074574
Length: 100, dtype: float64",standing
4,"0    -0.123238
1    -0.123238
2    -0.249547
3    -0.272929
4    -0.272929
        ...   
95   -0.348184
96   -0.233180
97   -0.161667
98   -0.161667
99   -0.344005
Length: 100, dtype: float64","0     0.379341
1     0.379341
2     0.541501
3    -0.158302
4    -0.158302
        ...   
95    0.427164
96    0.216595
97   -0.034599
98   -0.034599
99   -0.341859
Length: 100, dtype: float64","0    -0.286006
1    -0.286006
2     0.208420
3     0.517183
4     0.517183
        ...   
95   -0.012385
96    0.117031
97    0.067971
98    0.067971
99    0.072477
Length: 100, dtype: float64","0    -0.098545
1    -0.098545
2    -0.023970
3    -0.141159
4    -0.141159
        ...   
95   -0.010653
96   -0.018644
97   -0.007990
98   -0.007990
99    0.015980
Length: 100, dtype: float64","0     0.058594
1     0.058594
2     0.175783
3     0.042614
4     0.042614
        ...   
95    0.000000
96   -0.010653
97    0.010653
98    0.010653
99    0.053267
Length: 100, dtype: float64","0    -0.074574
1    -0.074574
2     0.114525
3     0.023970
4     0.023970
        ...   
95    0.047941
96   -0.117188
97   -0.141159
98   -0.141159
99    0.000000
Length: 100, dtype: float64",standing
5,"0    -0.357300
1    -0.357300
2    -0.005055
3     0.188406
4    -0.005550
        ...   
95   -0.131495
96   -0.227401
97   -0.077186
98   -0.151137
99   -0.074966
Length: 100, dtype: float64","0    -0.584885
1    -0.584885
2     0.295037
3     1.121559
4     1.499461
        ...   
95    0.019872
96    0.081473
97    0.030411
98   -0.050431
99    0.118589
Length: 100, dtype: float64","0    -0.792751
1    -0.792751
2     0.213664
3     0.940957
4     0.660870
        ...   
95    0.127541
96   -0.001277
97    0.020097
98   -0.050165
99    0.003065
Length: 100, dtype: float64","0     0.074574
1     0.074574
2    -0.157139
3     0.173119
4     0.242367
        ...   
95    0.021307
96   -0.002663
97   -0.007990
98   -0.074574
99   -0.018644
Length: 100, dtype: float64","0     0.159802
1     0.159802
2    -0.306288
3    -0.324931
4    -0.074574
        ...   
95   -0.007990
96    0.015980
97    0.037287
98    0.015980
99   -0.005327
Length: 100, dtype: float64","0     0.023970
1     0.023970
2     1.230478
3     0.972131
4     0.548655
        ...   
95    0.018644
96    0.021307
97    0.010653
98    0.053267
99    0.042614
Length: 100, dtype: float64",standing
6,"0     1.236069
1     1.236069
2     0.118106
3    -0.311451
4     0.800338
        ...   
95   -0.079782
96   -0.128078
97   -0.236547
98   -0.347654
99   -0.284163
Length: 100, dtype: float64","0    -0.569532
1    -0.569532
2     0.264725
3    -0.240149
4     0.798940
        ...   
95    0.211311
96    0.390654
97    0.407018
98    0.301901
99   -0.272509
Length: 100, dtype: float64","0     1.536733
1     1.536733
2     0.712643
3     1.020031
4    -0.432661
        ...   
95    0.029595
96   -0.058964
97   -0.193675
98   -0.051349
99    0.103274
Length: 100, dtype: float64","0     0.143822
1     0.143822
2    -2.018837
3    -0.745744
4    -1.134597
        ...   
95    0.066584
96   -0.047941
97   -0.138495
98   -0.087891
99   -0.093218
Length: 100, dtype: float64","0     0.061258
1     0.061258
2    -0.111862
3     0.133169
4    -0.290308
        ...   
95    0.000000
96    0.005327
97    0.013317
98   -0.047941
99   -0.047941
Length: 100, dtype: float64","0     0.905547
1     0.905547
2    -0.990775
3    -1.012082
4    -1.209171
        ...   
95    0.103872
96    0.058594
97   -0.042614
98   -0.135832
99   -0.295634
Length: 100, dtype: float64",standing
7,"0    -0.366403
1    -0.366403
2     0.126830
3     0.126830
4    -0.284847
        ...   
95   -0.219388
96   -0.219388
97   -0.162921
98   -0.162921
99   -0.208225
Length: 100, dtype: float64","0     0.331289
1     0.331289
2     1.060159
3     1.060159
4     1.197939
        ...   
95    1.121405
96    1.121405
97   -0.070385
98   -0.070385
99   -0.871569
Length: 100, dtype: float64","0    -0.817845
1    -0.817845
2     0.285714
3     0.285714
4    -0.166016
        ...   
95   -0.182135
96   -0.182135
97    0.244703
98    0.244703
99    0.426556
Length: 100, dtype: float64","0    -0.167792
1    -0.167792
2     0.170456
3     0.170456
4    -0.149149
        ...   
95   -0.101208
96   -0.101208
97   -0.234377
98   -0.234377
99    0.023970
Length: 100, dtype: float64","0    -0.093218
1    -0.093218
2    -0.117188
3    -0.117188
4    -0.007990
        ...   
95   -0.079901
96   -0.079901
97   -0.074574
98   -0.074574
99   -0.018644
Length: 100, dtype: float64","0     0.157139
1     0.157139
2     0.719111
3     0.719111
4     0.474080
        ...   
95   -0.125179
96   -0.125179
97   -0.503377
98   -0.503377
99   -0.476744
Length: 100, dtype: float64",standing
8,"0    -0.342233
1    -0.342233
2    -0.298542
3    -0.326765
4    -0.259437
        ...   
95   -0.203504
96   -0.229990
97   -0.281073
98   -0.373028
99   -0.238221
Length: 100, dtype: float64","0     0.327415
1     0.327415
2    -0.527154
3    -0.759128
4    -0.840716
        ...   
95    0.112583
96   -0.686930
97   -1.299318
98   -0.970840
99   -0.360824
Length: 100, dtype: float64","0     0.157229
1     0.157229
2     0.248585
3     1.054512
4     0.635881
        ...   
95    0.191679
96    0.168542
97   -0.180477
98   -0.540332
99   -0.489100
Length: 100, dtype: float64","0     0.394179
1     0.394179
2    -0.037287
3     0.178446
4     0.231713
        ...   
95    0.202416
96    0.122515
97    0.055931
98   -0.162466
99   -0.173119
Length: 100, dtype: float64","0     0.074574
1     0.074574
2    -0.087891
3    -0.103872
4     0.010653
        ...   
95    0.170456
96    0.231713
97    0.245030
98    0.039951
99   -0.154476
Length: 100, dtype: float64","0    -0.037287
1    -0.037287
2    -0.050604
3     0.087891
4     0.253020
        ...   
95   -0.538001
96   -0.519358
97   -0.287644
98    0.234377
99    0.476744
Length: 100, dtype: float64",standing
9,"0    -0.407421
1    -0.407421
2     2.355158
3     1.147434
4     0.142240
        ...   
95   -0.015828
96   -0.241701
97   -0.294824
98   -0.238427
99   -0.236918
Length: 100, dtype: float64","0     1.413374
1     1.413374
2    -3.928032
3    -1.480309
4    -2.782044
        ...   
95   -0.390737
96   -0.462142
97    0.216479
98    0.328636
99    0.537231
Length: 100, dtype: float64","0     0.092782
1     0.092782
2    -0.211622
3     0.651368
4    -0.801197
        ...   
95    0.194530
96    0.139095
97    0.028430
98   -0.371993
99   -0.496802
Length: 100, dtype: float64","0    -0.066584
1    -0.066584
2    -3.630177
3    -1.603350
4    -1.403597
        ...   
95   -0.159802
96    0.007990
97    0.255684
98    0.026634
99    0.053267
Length: 100, dtype: float64","0     0.223723
1     0.223723
2    -0.026634
3     0.279654
4     0.234377
        ...   
95    0.005327
96    0.026634
97    0.111862
98    0.114525
99    0.029297
Length: 100, dtype: float64","0     0.135832
1     0.135832
2    -1.946925
3    -1.909638
4    -1.475509
        ...   
95   -0.007990
96    0.106535
97    0.143822
98    0.138495
99    0.085228
Length: 100, dtype: float64",standing
