Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
BayesianRidge,0.9974374317070203,0.9977389103297237,1650.2213209951701,0.007348299026489258
OrthogonalMatchingPursuitCV,0.9974275641670595,0.9977302036768172,1653.395476269095,0.01803874969482422
LassoLarsCV,0.9974090318016279,0.9977138515896716,1659.3404915032786,0.015105962753295898
LarsCV,0.9974090318016279,0.9977138515896716,1659.3404915032786,0.015064716339111328
Lars,0.9974090318016279,0.9977138515896716,1659.3404915032786,0.008380413055419922
LinearRegression,0.9974090318016238,0.9977138515896681,1659.3404915045874,0.007123470306396484
TransformedTargetRegressor,0.9974090318016238,0.9977138515896681,1659.3404915045874,0.005869626998901367
RANSACRegressor,0.9974090318016237,0.997713851589668,1659.3404915046278,0.008149147033691406
RidgeCV,0.9892715914776762,0.9905337571861849,3376.541726835379,0.005529642105102539
LassoLars,0.9839408502529234,0.9858301619878737,4131.100340508927,0.007824897766113281
HuberRegressor,0.9727942765641089,0.9759949499095079,5376.932805739384,0.018761157989501953
LassoLarsIC,0.9701779088404314,0.9736863901533218,5629.5478709677345,0.008356332778930664
OrthogonalMatchingPursuit,0.9692690551870761,0.9728844604591848,5714.686705075906,0.011676788330078125
Lasso,0.945940997984481,0.952300880574542,7579.46377704627,0.009832382202148438
LassoCV,0.8835532799748004,0.8972528940954121,11124.182365518733,0.06810641288757324
Ridge,0.8378030823356272,0.8568850726490828,13128.822240936066,0.0050106048583984375
PassiveAggressiveRegressor,0.8213577343336881,0.8423744714709013,13778.329895080424,0.026371002197265625
ElasticNet,0.741816222513709,0.7721907845709197,16564.142007889306,0.005120992660522461
SGDRegressor,0.6283736939983393,0.6720944358808876,19872.73741182545,0.005719900131225586
TweedieRegressor,-1.096806163829112,-0.8501230857315696,47204.522853123715,0.006862163543701172
GeneralizedLinearRegressor,-1.096806163829112,-0.8501230857315696,47204.522853123715,0.022539138793945312
ExtraTreeRegressor,-4.693118759618564,-4.02334008201638,77782.0869663842,0.006049156188964844
ExtraTreesRegressor,-4.693118759618564,-4.02334008201638,77782.0869663842,0.07694506645202637
DecisionTreeRegressor,-4.693118759618564,-4.02334008201638,77782.0869663842,0.0057947635650634766
XGBRegressor,-4.70802899161916,-4.036496169075729,77883.87569243569,0.02964162826538086
GradientBoostingRegressor,-4.724669837197141,-4.051179268115125,77997.32206030906,0.07191634178161621
RandomForestRegressor,-5.207057488169551,-4.476815430737839,81217.07671586011,0.10620474815368652
BaggingRegressor,-5.374660989802803,-4.6247008733554145,82306.28820117807,0.01797008514404297
KNeighborsRegressor,-5.6269385159380185,-4.847298690533546,83919.12374282203,0.007810354232788086
AdaBoostRegressor,-7.439782717717424,-6.446867103868316,94704.38817804371,0.05223441123962402
LGBMRegressor,-10.412696470991222,-9.070026297933431,110128.21582593986,0.041733503341674805
HistGradientBoostingRegressor,-10.925526782276924,-9.522523631420816,112575.33703312924,0.13080167770385742
KernelRidge,-13.816172111823942,-12.073093039844656,125479.41259634358,0.4989628791809082
PoissonRegressor,-30.76046271886511,-27.023937693116274,183716.38040744167,0.027669191360473633
ElasticNetCV,-171.0777679118326,-150.8333246280876,427628.7068229926,0.034949302673339844
DummyRegressor,-188.09666158620004,-165.84999551723533,448276.9419738514,0.004589557647705078
NuSVR,-215.1069807273465,-189.68263005354103,479224.3397316878,0.014227628707885742
SVR,-226.63478666611798,-199.85422352892763,491839.93133265857,0.008820772171020508
LinearSVR,-321.8119220087298,-283.8340488312322,585705.4330651647,0.0073261260986328125
MLPRegressor,-321.9099976754423,-283.9205861842138,585794.3998667619,0.468320369720459
GammaRegressor,-351.00318986543385,-309.5910498812652,611614.4948551805,0.006621599197387695
GaussianProcessRegressor,-633.1445572981693,-558.5393152630905,820915.781033542,0.019507408142089844
