Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken
HuberRegressor,0.9910590337634336,0.9920906837138067,1065.801200984347,0.024449825286865234
OrthogonalMatchingPursuitCV,0.9899598435568788,0.9911183231464697,1129.4167330612179,0.016271114349365234
LassoLarsCV,0.9899561843258506,0.9911150861344064,1129.622527676372,0.01513528823852539
LarsCV,0.9899561843258506,0.9911150861344064,1129.622527676372,0.01469564437866211
Lars,0.9899484654883935,0.9911082579320405,1130.0565110528048,0.008512020111083984
TransformedTargetRegressor,0.9899484654883905,0.9911082579320378,1130.0565110529747,0.00565338134765625
LinearRegression,0.9899484654883905,0.9911082579320378,1130.0565110529747,0.007753849029541016
BayesianRidge,0.9898823169375192,0.9910497419062669,1133.7688307779677,0.0061187744140625
RANSACRegressor,0.9898577108830859,0.9910279750119606,1135.1466480293702,0.01185297966003418
LassoLars,0.9892382040419669,0.9904799497294323,1169.3010903808117,0.009082794189453125
LassoLarsIC,0.9885079785363569,0.9898339810129311,1208.3206347107896,0.008882284164428711
OrthogonalMatchingPursuit,0.9884207273759387,0.9897567972940996,1212.898942548398,0.010853290557861328
RidgeCV,0.9859975443738713,0.9876132123307323,1333.7857721691375,0.005585432052612305
Lasso,0.9782056078231584,0.9807203453820247,1664.0116349361576,0.009162664413452148
LassoCV,0.975639425121744,0.9784502606846196,1759.250747720425,0.06594371795654297
PassiveAggressiveRegressor,0.9676795196196584,0.9714088058173901,2026.3892898188647,0.015647411346435547
Ridge,0.9611137640996446,0.9656006374727625,2222.7055354594495,0.005754709243774414
SGDRegressor,0.9286416324062644,0.9368752902055416,3010.9700185701495,0.006074190139770508
ElasticNet,0.8644235530418586,0.8800669892293365,4150.267619042019,0.005095720291137695
TweedieRegressor,0.26107699693441155,0.3463373434419794,9689.102965274842,0.006964206695556641
GeneralizedLinearRegressor,0.26107699693441155,0.3463373434419794,9689.102965274842,0.013748884201049805
KernelRidge,-2.67534687228494,-2.2512683870212933,21608.92412009696,0.5191152095794678
ExtraTreeRegressor,-4.6925545041363,-4.035721292120574,26892.89626269782,0.00577235221862793
ExtraTreesRegressor,-4.6925545041363,-4.035721292120574,26892.89626269782,0.07668352127075195
DecisionTreeRegressor,-4.6925545041363,-4.035721292120574,26892.89626269782,0.006762504577636719
XGBRegressor,-4.693901799590656,-4.036913130407119,26896.078536425568,0.04503798484802246
GradientBoostingRegressor,-4.700368323060664,-4.042633516553664,26911.347044397146,0.07433962821960449
RandomForestRegressor,-4.718708177932932,-4.058857234325286,26954.603359824436,0.10971474647521973
BaggingRegressor,-4.855201830093817,-4.179601618929146,27274.381619290958,0.019841432571411133
KNeighborsRegressor,-4.900590095458107,-4.219752776751403,27379.890114558224,0.008941650390625
AdaBoostRegressor,-5.8427600812522815,-5.053210841107788,29484.898319805092,0.03638410568237305
HistGradientBoostingRegressor,-8.04689936652442,-7.00302636269468,33902.66650464069,0.12419414520263672
LGBMRegressor,-8.04689936652442,-7.00302636269468,33902.66650464069,0.03107428550720215
ElasticNetCV,-30.254508484724692,-26.648219044179537,63014.47387828023,0.03531050682067871
DummyRegressor,-54.171444918851144,-47.805508966676015,83722.30120167737,0.004587888717651367
NuSVR,-58.572850157811544,-51.69905975498714,86997.77933727605,0.014372825622558594
SVR,-59.8422030149579,-52.821948820924305,87919.74975549741,0.008550405502319336
GaussianProcessRegressor,-76.63771383865766,-67.67951608804331,99316.25778448427,0.019027233123779297
LinearSVR,-86.9683042851552,-76.81811532917575,105717.54956931395,0.009166240692138672
MLPRegressor,-88.12646467729688,-77.84264182991647,106411.19438338658,0.44846367835998535
PoissonRegressor,-348.5206087574228,-308.19130774695094,210727.09098089935,0.02328968048095703
GammaRegressor,-1062.4102589172705,-939.709075196047,367565.21166261117,0.005769491195678711
